#,Pair,Amount,Price,Date
65570802,BCH/BTC,-0.39749424,0.12901,2017-09-13 08:13:33
65570803,BCH/BTC,-0.0435,0.129,2017-09-13 08:13:33
65571234,BCH/BTC,-4.94023849,0.12868,2017-09-13 08:14:59
65571235,BCH/BTC,-8.0,0.12858,2017-09-13 08:14:59
65571236,BCH/BTC,-1.85403304,0.12858,2017-09-13 08:14:59
65571237,BCH/BTC,-1.83757253,0.12858,2017-09-13 08:14:59
65571238,BCH/BTC,-1.73102725,0.12858,2017-09-13 08:14:59
65571239,BCH/BTC,-1.72035629,0.12858,2017-09-13 08:14:59
65571240,BCH/BTC,-1.6885035,0.12858,2017-09-13 08:14:59
65571241,BCH/BTC,-77.76743939,0.12857,2017-09-13 08:14:59
65571242,BCH/BTC,-28.2,0.1281,2017-09-13 08:14:59
65571243,BCH/BTC,-12.65067252,0.12809,2017-09-13 08:14:59
65571244,BCH/BTC,-0.025,0.12804,2017-09-13 08:14:59
65571245,BCH/BTC,-90.97372432,0.12801,2017-09-13 08:14:59
65571246,BCH/BTC,-12.65067252,0.128,2017-09-13 08:14:59
65571255,BCH/BTC,-1.915156,0.128,2017-09-13 08:15:01
65571292,BCH/BTC,-3.073071,0.128,2017-09-13 08:15:03
65571349,BCH/BTC,-0.00201562,0.128,2017-09-13 08:15:14
65571370,BCH/BTC,-1.73152343,0.128,2017-09-13 08:15:17
65571376,BCH/BTC,-2.21693251,0.128,2017-09-13 08:15:17
65571384,BCH/BTC,-0.02558875,0.128,2017-09-13 08:15:19
65571394,BCH/BTC,-27.27,0.128,2017-09-13 08:15:25
65571403,BCH/BTC,-7.825359,0.128,2017-09-13 08:15:26
65571414,BCH/BTC,-0.019536,0.128,2017-09-13 08:15:27
65571421,BCH/BTC,-1.52954687,0.128,2017-09-13 08:15:27
65571494,BCH/BTC,-0.38651562,0.128,2017-09-13 08:15:43
65571496,BCH/BTC,-2.55397656,0.128,2017-09-13 08:15:44
65571501,BCH/BTC,-2.7,0.128,2017-09-13 08:15:47
65571575,BCH/BTC,-0.145875,0.128,2017-09-13 08:16:02
65571740,BCH/BTC,-0.33625,0.128,2017-09-13 08:16:45
65571743,BCH/BTC,-1.47375781,0.128,2017-09-13 08:16:46
65571869,BCH/BTC,-4.457795,0.128,2017-09-13 08:17:13
65571884,BCH/BTC,-0.00592968,0.128,2017-09-13 08:17:15
65572000,BCH/BTC,-1.862654,0.128,2017-09-13 08:17:50
65572019,BCH/BTC,-0.52516649,0.128,2017-09-13 08:17:53
65572020,BCH/BTC,-1.17451565,0.128,2017-09-13 08:17:53
65572021,BCH/BTC,-1.81001202,0.128,2017-09-13 08:17:53
65572149,BCH/BTC,-0.7,0.128,2017-09-13 08:18:13
65572249,BCH/BTC,-4.199977,0.128,2017-09-13 08:18:37
65572290,BCH/BTC,-5.38580468,0.128,2017-09-13 08:18:51
65572293,BCH/BTC,-0.77187902,0.128,2017-09-13 08:18:51
65572325,BCH/BTC,-5.38778079,0.128,2017-09-13 08:19:03
65572347,BCH/BTC,-2.69529687,0.128,2017-09-13 08:19:08
65572369,BCH/BTC,-27.63,0.128,2017-09-13 08:19:13
65572373,BCH/BTC,-3.26996875,0.128,2017-09-13 08:19:14
65572377,BCH/BTC,-0.00320312,0.128,2017-09-13 08:19:15
65572570,BCH/BTC,-10.098,0.128,2017-09-13 08:20:01
65572647,BCH/BTC,-27.57,0.128,2017-09-13 08:20:18
65572679,BCH/BTC,-10.940264,0.128,2017-09-13 08:20:23
65572692,BCH/BTC,-28.41,0.128,2017-09-13 08:20:29
65572812,BCH/BTC,-0.96342968,0.128,2017-09-13 08:20:56
65572834,BCH/BTC,-0.24661718,0.128,2017-09-13 08:20:59
65572836,BCH/BTC,-0.01734375,0.128,2017-09-13 08:20:59
65572895,BCH/BTC,-0.26391592,0.128,2017-09-13 08:21:13
65572905,BCH/BTC,-0.27738281,0.128,2017-09-13 08:21:16
65572921,BCH/BTC,-18.64245178,0.128,2017-09-13 08:21:20
65572938,BCH/BTC,-25.5,0.128,2017-09-13 08:21:27
65572947,BCH/BTC,-2.16,0.128,2017-09-13 08:21:29
65573004,BCH/BTC,-0.78042634,0.128,2017-09-13 08:21:50
65573005,BCH/BTC,-0.0505,0.128,2017-09-13 08:21:50
65573007,BCH/BTC,-0.62003404,0.128,2017-09-13 08:21:50
65573008,BCH/BTC,-0.42431734,0.128,2017-09-13 08:21:50
65573016,BCH/BTC,-31.348521,0.128,2017-09-13 08:21:52
65573017,BCH/BTC,-4.82870203,0.128,2017-09-13 08:21:52
65573020,BCH/BTC,-3.183238,0.128,2017-09-13 08:21:53
65573052,BCH/BTC,-0.00119531,0.128,2017-09-13 08:21:57
65573310,BCH/BTC,-10.0,0.128,2017-09-13 08:22:55
65573316,BCH/BTC,-31.018692,0.128,2017-09-13 08:22:56
65573375,BCH/BTC,-0.46229687,0.128,2017-09-13 08:23:13
65573887,BCH/BTC,-1.19395186,0.128,2017-09-13 08:24:54
66008136,ETH/BTC,0.02,0.070354,2017-09-14 10:38:41
66008137,ETH/BTC,0.10600501,0.070406,2017-09-14 10:38:41
66008138,ETH/BTC,21.7629,0.070406,2017-09-14 10:38:41
66008139,ETH/BTC,0.02,0.070462,2017-09-14 10:38:41
66008140,ETH/BTC,1.98030016,0.070486,2017-09-14 10:38:41
66008141,ETH/BTC,56.11079483,0.070487,2017-09-14 10:38:41
66040873,ETH/BTC,1.07,0.0698,2017-09-14 11:26:28
66040892,ETH/BTC,1.08,0.0698,2017-09-14 11:26:29
66040912,ETH/BTC,1.08,0.0698,2017-09-14 11:26:30
66041040,ETH/BTC,0.98397367,0.0698,2017-09-14 11:26:38
66041041,ETH/BTC,1.07,0.0698,2017-09-14 11:26:38
66041043,ETH/BTC,0.035832,0.0698,2017-09-14 11:26:39
66041061,ETH/BTC,0.63423823,0.0698,2017-09-14 11:26:40
66041067,ETH/BTC,1.08,0.0698,2017-09-14 11:26:40
66041081,ETH/BTC,0.035827,0.0698,2017-09-14 11:26:41
66041101,ETH/BTC,1.08,0.0698,2017-09-14 11:26:43
66041102,ETH/BTC,2.0979,0.0698,2017-09-14 11:26:43
66041107,ETH/BTC,1.07,0.0698,2017-09-14 11:26:43
66041296,ETH/BTC,10.0,0.0698,2017-09-14 11:26:56
66041323,ETH/BTC,1.08,0.0698,2017-09-14 11:26:58
66041350,ETH/BTC,1.07,0.0698,2017-09-14 11:26:59
66041366,ETH/BTC,1.08,0.0698,2017-09-14 11:27:01
66041514,ETH/BTC,0.278787,0.0698,2017-09-14 11:27:11
66041543,ETH/BTC,1.08,0.0698,2017-09-14 11:27:13
66042312,ETH/BTC,0.26678292,0.0698,2017-09-14 11:28:01
66042314,ETH/BTC,0.16586339,0.0698,2017-09-14 11:28:01
66042337,ETH/BTC,1.08,0.0698,2017-09-14 11:28:03
66042350,ETH/BTC,1.08,0.0698,2017-09-14 11:28:05
66042372,ETH/BTC,1.09,0.0698,2017-09-14 11:28:07
66042373,ETH/BTC,0.01233633,0.0698,2017-09-14 11:28:07
66042374,ETH/BTC,1.38816273,0.0698,2017-09-14 11:28:07
66042381,ETH/BTC,1.08,0.0698,2017-09-14 11:28:08
66043197,ETH/BTC,1.08,0.0698,2017-09-14 11:28:53
66043301,ETH/BTC,26.48482035,0.0698,2017-09-14 11:29:00
66043379,ETH/BTC,0.63879158,0.0698,2017-09-14 11:29:07
66043380,ETH/BTC,2.98078651,0.0698,2017-09-14 11:29:07
66043386,ETH/BTC,0.79697315,0.0698,2017-09-14 11:29:08
66043389,ETH/BTC,1.08,0.0698,2017-09-14 11:29:08
66043390,ETH/BTC,25.71860305,0.0698,2017-09-14 11:29:08
66043419,ETH/BTC,1.09,0.0698,2017-09-14 11:29:09
66043420,ETH/BTC,1.78759906,0.0698,2017-09-14 11:29:09
66043421,ETH/BTC,5.19136207,0.0698,2017-09-14 11:29:09
